DateTime,Actual,Consensus,Previous,Revised
10/31/19,1.5,1.75,1.75,
9/19/19,1.75,2,2,
8/1/19,2,2,2.25,
11/8/18,2.25,2.25,2.25,
9/26/18,2.25,2.25,2,
8/1/18,2,2,2,
6/13/18,2,2,1.75,
5/2/18,1.75,1.75,1.75,
3/21/18,1.75,1.75,1.5,
1/31/18,1.5,1.5,1.5,
12/13/17,1.5,1.5,1.25,
11/1/17,1.25,1.25,1.25,
9/20/17,1.25,1.25,1.25,
7/26/17,1.25,1.25,1.25,
6/14/17,1.25,1.25,1,
5/3/17,1,1,1,
3/15/17,1,1,0.75,
2/1/17,0.75,,0.75,
12/14/16,0.75,0.75,0.5,
11/2/16,0.5,0.5,0.5,
9/21/16,0.5,0.5,0.5,
7/27/16,0.5,0.5,0.5,
6/15/16,0.5,0.5,0.5,
4/27/16,0.5,0.5,0.5,0.5
3/16/16,0.5,0.5,0.5,
1/27/16,0.5,0.5,0.5,
12/16/15,0.5,0.5,0.25,
10/28/15,0.25,0.25,0.25,
9/17/15,0.25,0.25,0.25,
7/29/15,0.25,0.25,0.25,
6/17/15,0.25,0.25,0.25,
4/29/15,0.25,0.25,0.25,
3/18/15,0.25,0.25,0.25,
1/28/15,0.25,0.25,0.25,
12/17/14,0.25,,0.25,
10/29/14,0.25,0.25,0.25,
9/17/14,0.25,,0.25,
7/30/14,0.25,0.25,0.25,
6/18/14,0.25,,0.25,
4/30/14,0.25,0.25,0.25,
3/19/14,0.25,0.25,0.25,
1/29/14,0.25,0.25,0.25,
12/18/13,0.25,0.25,0.25,
10/30/13,0.25,0.25,0.25,
9/18/13,0.25,0.25,0.25,
7/31/13,0.25,0.25,0.25,
6/19/13,0.25,0.25,0.25,
5/1/13,0.25,0.25,0.25,
3/20/13,0.25,0.25,0.25,
1/30/13,0.25,0.25,0.25,
12/12/12,0.25,0.25,0.25,
10/24/12,0.25,0.25,0.25,
9/13/12,0.25,0.25,0.25,
8/1/12,0.25,0.25,0.25,
6/20/12,0.25,0.25,0.25,
4/25/12,0.25,0.25,0.25,
3/13/12,0.25,0.25,0.25,
1/25/12,0.25,0.25,0.25,
12/13/11,0.25,0.25,0.25,
11/2/11,0.25,0.25,0.25,
9/21/11,0.25,0.25,0.25,
8/9/11,0.25,0.25,0.25,
6/22/11,0.25,0.25,0.25,
4/27/11,0.25,0.25,0.25,
3/15/11,0.25,0.25,0.25,
1/26/11,0.25,0.25,0.25,
12/14/10,0.25,0.25,0.25,
11/3/10,0.25,0.25,0.25,
9/21/10,0.25,0.25,0.25,
8/10/10,0.25,0.25,0.25,
6/23/10,0.25,0.25,0.25,
4/28/10,0.25,0.25,0.25,
3/16/10,0.25,0.25,0.25,
1/27/10,0.25,0.25,0.25,
12/16/09,0.25,0.25,0.25,
11/4/09,0.25,0.25,0.25,
9/23/09,0.25,0.25,0.25,
8/12/09,0.25,0.25,0.25,
6/24/09,0.25,0.25,0.25,
4/29/09,0.25,0.25,0.25,
3/18/09,0.25,0.25,0.25,
1/28/09,0.25,0.25,0.25,
12/16/08,0.25,0.5,1,
10/29/08,1,1,1.5,
10/8/08,1.5,,2,
9/16/08,2,2,2,
8/5/08,2,2,2,
6/25/08,2,2,2,
4/30/08,2,2,2.25,
3/18/08,2.25,2.5,3,
1/30/08,3,3.25,3.5,
1/22/08,3.5,,4.25,
12/11/07,4.25,4.25,4.5,
10/31/07,4.5,4.5,4.75,
9/18/07,4.75,5,5.25,
8/7/07,5.25,5.25,5.25,
6/28/07,5.25,,5.25,
5/9/07,5.25,5.25,5.25,
6/29/06,5.25,5.25,,